date,ticker,vol30,vol90
2025-10-14,AMD,0.8494983443249973,0.614978777843553
2025-10-14,NFLX,0.23017231977967245,0.24269298312306592
2025-10-14,CRM,0.3242363078003315,0.2754322095730554
2025-10-14,ORCL,1.159260478056551,0.761386306654865
2025-10-14,ADBE,0.23600119227546876,0.25995684201881486
2025-10-14,AVGO,0.5780379744787718,0.41725255926438576
2025-10-14,QCOM,0.3313871118905606,0.2931823668820081
2025-10-14,INTC,0.8199258195714673,0.6438373290776659
2025-10-14,BTC-USD,0.3564961504360364,0.3327536612950533
2025-10-14,ETH-USD,0.7008413346294157,0.6913338759067332
2025-10-14,SOL-USD,0.8375682054097094,0.7469588450661437
2025-10-15,AAPL,0.24750879086207908,0.23385244049789197
2025-10-15,MSFT,0.16624891129874694,0.1579151750960475
2025-10-15,NVDA,0.3528089491596387,0.292837820595537
2025-10-15,GOOGL,0.23570230171043333,0.26564708230568596
2025-10-15,AMZN,0.284106142726667,0.2772487544870211
2025-10-15,META,0.2315841995361365,0.2970162024035744
2025-10-15,TSLA,0.5281026265521436,0.4954685164574146
2025-10-15,AMD,0.8817028018594205,0.6316552720616029
2025-10-15,NFLX,0.23001893407327612,0.24295497031488297
2025-10-15,CRM,0.3224524033698743,0.2718853404363229
2025-10-15,ORCL,1.1577508762727478,0.7613408094849763
2025-10-15,ADBE,0.2382180046355789,0.26071704729246065
2025-10-15,AVGO,0.5792841970188647,0.408278411818041
2025-10-15,QCOM,0.33039120334049327,0.2928805750030659
2025-10-15,INTC,0.8210094969442295,0.6465263457271965
2025-10-15,BTC-USD,0.3616291909183109,0.33177130476562217
2025-10-15,ETH-USD,0.7013094834564766,0.693894907006626
2025-10-15,SOL-USD,0.846073259362935,0.7503184770264487
2025-10-16,AAPL,0.2486214192007948,0.23318044366186932
2025-10-16,MSFT,0.16607388349178542,0.15795302552182114
2025-10-16,NVDA,0.35359196561776396,0.2930982058311456
2025-10-16,GOOGL,0.2353954447232934,0.26504377895587544
2025-10-16,AMZN,0.2512340650483276,0.27610760238935206
2025-10-16,META,0.22697052215101382,0.29717478916258644
2025-10-16,TSLA,0.5325170993259047,0.49168553667210124
2025-10-16,AMD,0.8851463785561007,0.6296335984253032
