date,avg_vol30,vol30_dispersion,avg_pairwise_corr,port_vol30,vix,regime_id,regime_name,regime_name_smoothed
2024-06-03,0.4188719087771223,0.1831995237550402,0.258997394174026,0.2119564479006174,13.11,0.0,Low,Low
2024-06-04,0.4147251585311068,0.1755023511280946,0.2612395465551374,0.2080348482606113,13.16,0.0,Low,Low
2024-06-05,0.4187000338626047,0.17445923012273,0.2684550799737845,0.213667819165317,12.63,0.0,Low,Low
2024-06-06,0.4106078013438646,0.1672303237555586,0.2663234705387432,0.2135225376442128,12.58,0.0,Low,Low
2024-06-07,0.4011581730052636,0.174051242003551,0.2643527908072992,0.2142639442890829,12.22,0.0,Low,Low
2024-06-10,0.3845183033892446,0.1823225155479525,0.2585426729926702,0.2140842259410308,12.74,0.0,Low,Low
2024-06-11,0.3763720137068784,0.1797965951992094,0.2563087730998097,0.2142412613747667,12.85,0.0,Low,Low
2024-06-12,0.3753383742824749,0.1754675126012356,0.2622799844472214,0.1960104097146451,12.04,0.0,Low,Low
2024-06-13,0.3751887936799187,0.1758047375737808,0.2573440406494525,0.1935847764782127,11.94,0.0,Low,Low
2024-06-14,0.3813751259297381,0.1809261393528847,0.2514374052342256,0.1895837259485835,12.66,0.0,Low,Low
2024-06-17,0.3773853734739085,0.1813284075112347,0.2494328694423423,0.1816329849500548,12.75,0.0,Low,Low
2024-06-18,0.3754213955199626,0.18097360445848,0.2487351254197751,0.1780545827395424,12.3,0.0,Low,Low
2024-06-20,0.3815893831945096,0.1809417073823461,0.2429253502258333,0.1774761910534439,13.28,0.0,Low,Low
2024-06-21,0.3842458958607595,0.1803479065275324,0.2426586085219194,0.1760622912784064,13.2,0.0,Low,Low
2024-06-24,0.3921165984715066,0.1786555973609124,0.2431916054849026,0.1907604814354172,13.33,0.0,Low,Low
2024-06-25,0.3932743791978861,0.1771045202519404,0.2399526086056694,0.1913617406609141,12.84,0.0,Low,Low
2024-06-26,0.3955311457728232,0.1754093160628744,0.2394689604015,0.1910977685390752,12.55,0.0,Low,Low
2024-06-27,0.3976993254581271,0.1804092357958956,0.2369588831055889,0.1938477362854931,12.24,0.0,Low,Low
2024-06-28,0.3901120502673685,0.1700855181968102,0.2363190350813878,0.181265367803717,12.44,0.0,Low,Low
2024-07-01,0.3936538068865217,0.170923613909666,0.2366431750388587,0.1840277737789722,12.22,0.0,Low,Low
2024-07-02,0.3971135305978239,0.1702868012398738,0.233758616736726,0.1859557919149572,12.03,0.0,Low,Low
2024-07-03,0.3771055050764226,0.161770027012564,0.2318519994219616,0.1723841239116395,12.09,0.0,Low,Low
2024-07-05,0.3877295767535533,0.1559712461795718,0.2312846762199985,0.172384501224663,12.48,0.0,Low,Low
2024-07-08,0.3919191565476955,0.1545965460965772,0.2303222683055976,0.1718795768195174,12.37,0.0,Low,Low
2024-07-09,0.3861130673446697,0.1538548850399128,0.2314054907819869,0.1694930845137968,12.51,0.0,Low,Low
2024-07-10,0.3834496277468899,0.1528357202727232,0.2306484044714242,0.1696831809311711,12.85,0.0,Low,Low
2024-07-11,0.3968100240121315,0.148211919337438,0.2377263100878874,0.1897984777870571,12.92,0.0,Low,Low
2024-07-12,0.3962579436597033,0.1489149021372942,0.2409076046719076,0.1881285972638245,12.46,0.0,Low,Low
2024-07-15,0.392511032115765,0.1572799454838145,0.2271400692525824,0.1802204242561255,13.12,0.0,Low,Low
2024-07-16,0.3883781435765805,0.1589975869880717,0.22742737187596,0.1810922034999517,13.19,0.0,Low,Low
2024-07-17,0.408360607885287,0.1626521928910703,0.234149690993306,0.2124445137659935,14.48,0.0,Low,Low
2024-07-18,0.4103995419550145,0.1598015998157391,0.2318422230773872,0.2124597806135145,15.93,0.0,Low,Low
2024-07-19,0.410931367052147,0.1630475884676258,0.2339246842017668,0.2045833348823879,16.52,0.0,Low,Low
2024-07-22,0.4164366358264874,0.1657323003517366,0.2366210596690984,0.2124393752311399,14.91,0.0,Low,Low
2024-07-23,0.4167321384741121,0.1652676534092163,0.2360752384416314,0.2120502917037308,14.72,0.0,Low,Low
2024-07-24,0.4404653146825791,0.1706836486262402,0.2607717396816796,0.2465325021851926,18.04,0.0,Low,Low
2024-07-25,0.4384497195871009,0.1704278583114694,0.2619779300909819,0.2498669075959105,18.46,0.0,Low,Low
