date,ticker,drawdown
2025-09-16,AMZN,-0.03309094682154967
2025-09-16,META,-0.01392395487012088
2025-09-16,TSLA,-0.12136871590096499
2025-09-16,AMD,-0.24089316393560967
2025-09-16,NFLX,-0.10351491239524702
2025-09-16,CRM,-0.3466713656094521
2025-09-16,ORCL,-0.06603108971171179
2025-09-16,ADBE,-0.4875865980673959
2025-09-16,AVGO,-0.025894896041692927
2025-09-16,QCOM,-0.2571145490476523
2025-09-16,INTC,-0.5126763118475413
2025-09-16,BTC-USD,-0.052705212299943516
2025-09-16,ETH-USD,-0.06784527563614984
2025-09-16,SOL-USD,-0.07871246628072048
2025-09-17,AAPL,-0.0740545982883829
2025-09-17,MSFT,-0.046265297571709496
2025-09-17,NVDA,-0.07021409108472687
2025-09-17,GOOGL,-0.008266683853456858
2025-09-17,AMZN,-0.04312981304925878
2025-09-17,META,-0.01807593413138564
2025-09-17,TSLA,-0.11253282550833588
2025-09-17,AMD,-0.24704323973146614
2025-09-17,NFLX,-0.08261331143755746
2025-09-17,CRM,-0.33760278132154276
2025-09-17,ORCL,-0.08199051767365073
2025-09-17,ADBE,-0.47401831879296197
2025-09-17,AVGO,-0.06331675897395628
2025-09-17,QCOM,-0.25204557913520564
2025-09-17,INTC,-0.519811656933747
2025-09-17,BTC-USD,-0.05574289145454403
2025-09-17,ETH-USD,-0.049388949651537284
2025-09-17,SOL-USD,-0.04812641932986417
2025-09-18,AAPL,-0.07835529877582625
2025-09-18,MSFT,-0.04920107806389007
2025-09-18,NVDA,-0.037726875953901784
2025-09-18,GOOGL,0.0
2025-09-18,AMZN,-0.04474098132812354
2025-09-18,META,-0.012341761260843631
2025-09-18,TSLA,-0.13130909259267265
2025-09-18,AMD,-0.2529094780913882
2025-09-18,NFLX,-0.09808603389971116
2025-09-18,CRM,-0.33194170073386176
2025-09-18,ORCL,-0.09657950750337907
2025-09-18,ADBE,-0.46618825041535683
2025-09-18,AVGO,-0.06553552770786653
2025-09-18,QCOM,-0.23905605292900767
2025-09-18,INTC,-0.4104675612095471
2025-09-18,BTC-USD,-0.050321509193034686
2025-09-18,ETH-USD,-0.049971489505085676
2025-09-18,SOL-USD,-0.03732053062501883
2025-09-19,AAPL,-0.04883225588856377
2025-09-19,MSFT,-0.03147367964388592
2025-09-19,NVDA,-0.03537920158884078
2025-09-19,GOOGL,0.0
2025-09-19,AMZN,-0.04370817953302519
2025-09-19,META,-0.01470877312869101
2025-09-19,TSLA,-0.11209515206385723
2025-09-19,AMD,-0.2554168050241825
2025-09-19,NFLX,-0.08375584341238651
2025-09-19,CRM,-0.3242569212083246
2025-09-19,ORCL,-0.05990914760402699
2025-09-19,ADBE,-0.46845446999154305
2025-09-19,AVGO,-0.06664499525577439
2025-09-19,QCOM,-0.24484932253938319
2025-09-19,INTC,-0.42955938277630035
2025-09-19,BTC-USD,-0.06206381539443784
2025-09-19,ETH-USD,-0.07460269751122883
2025-09-19,SOL-USD,-0.07263587781169978
2025-09-22,AAPL,-0.007841054170348527
2025-09-22,MSFT,-0.03798102720786811
2025-09-22,NVDA,0.0
2025-09-22,GOOGL,-0.008597702742739965
2025-09-22,AMZN,-0.059613289355207155
2025-09-22,META,-0.030789292303990745
2025-09-22,TSLA,-0.09513190365943847
2025-09-22,AMD,-0.2440628744676243
2025-09-22,NFLX,-0.08345713516744624
2025-09-22,CRM,-0.3171464584680449
2025-09-22,ORCL,-0.00054815645142825
2025-09-22,ADBE,-0.47109840760812804
2025-09-22,AVGO,-0.08171522119104646
2025-09-22,QCOM,-0.23185986683150117
2025-09-22,INTC,-0.44537280851143346
2025-09-22,BTC-USD,-0.08590242994063857
2025-09-22,ETH-USD,-0.13008193760597953
2025-09-22,SOL-USD,-0.14282886515064264
2025-09-23,AAPL,-0.014233806108360891
2025-09-23,MSFT,-0.047742508851817744
2025-09-23,NVDA,-0.028212047891209013
2025-09-23,GOOGL,-0.012013252349290182
2025-09-23,AMZN,-0.08820123547906122
2025-09-23,META,-0.043151982051729654
2025-09-23,TSLA,-0.11255362167461669
2025-09-23,AMD,-0.23881166534324694
2025-09-23,NFLX,-0.09010323694223932
2025-09-23,CRM,-0.33117598703004414
2025-09-23,ORCL,-0.04416283414652766
2025-09-23,ADBE,-0.4744396162739375
2025-09-23,AVGO,-0.08130871587491018
2025-09-23,QCOM,-0.23271980528929126
2025-09-23,INTC,-0.43418769981224703
2025-09-23,BTC-USD,-0.09185332694875359
2025-09-23,ETH-USD,-0.1378175696202839
2025-09-23,SOL-USD,-0.1691825181981491
2025-09-24,AAPL,-0.02244749785733391
2025-09-24,MSFT,-0.046022145165783845
2025-09-24,NVDA,-0.03616371067500401
2025-09-24,GOOGL,-0.029758206427148104
2025-09-24,AMZN,-0.09026683906925781
2025-09-24,META,-0.036489359492185014
2025-09-24,TSLA,-0.07725165243666199
2025-09-24,AMD,-0.23890622969753839
2025-09-24,NFLX,-0.10094612403975245
2025-09-24,CRM,-0.32753864739007865
2025-09-24,ORCL,-0.06051831478036984
2025-09-24,ADBE,-0.4868021681370184
2025-09-24,AVGO,-0.08030588630844016
2025-09-24,QCOM,-0.21452552941415337
2025-09-24,INTC,-0.3979325313060338
2025-09-24,BTC-USD,-0.08119912288035758
2025-09-24,ETH-USD,-0.1403085237789251
2025-09-24,SOL-USD,-0.17680599974801747
2025-09-25,AAPL,-0.00478026368974338
2025-09-25,MSFT,-0.05185653708856697
2025-09-25,NVDA,-0.03224234044709595
2025-09-25,GOOGL,-0.03505807707602193
2025-09-25,AMZN,-0.09877717881213133
2025-09-25,META,-0.05137276921707923
2025-09-25,TSLA,-0.11768009925177048
2025-09-25,AMD,-0.23706121417743453
2025-09-25,NFLX,-0.09774254505577751
2025-09-25,CRM,-0.34104864002322977
2025-09-25,ORCL,-0.11269150928124483
2025-09-25,ADBE,-0.4855092375114092
2025-09-25,AVGO,-0.0890063644242387
2025-09-25,QCOM,-0.23204097700514126
2025-09-25,INTC,-0.3445139422951722
2025-09-25,BTC-USD,-0.11589348646190412
2025-09-25,ETH-USD,-0.19932625890359212
2025-09-25,SOL-USD,-0.25212743770015367
2025-09-26,AAPL,-0.010243142459821053
